iter	RMSE
0	2.812157623
1	2.79945025
2	2.790268803
3	2.779896623
4	2.763790416
5	2.753734858
6	2.740779282
7	2.729780014
8	2.717156545
9	2.712566877
10	2.703616912
11	2.69369596
12	2.679804308
13	2.673830843
14	2.664484609
15	2.652222148
16	2.64460538
17	2.634526843
18	2.623634373
19	2.611906131
20	2.605650123
21	2.599813432
22	2.590205681
23	2.577633357
24	2.571009947
25	2.564591413
26	2.558198918
27	2.55234771
28	2.545956028
29	2.535185784
30	2.526805518
31	2.518681359
32	2.509356286
33	2.503847599
34	2.498292102
35	2.486478721
36	2.47851488
37	2.467644278
38	2.463415303
39	2.459606473
40	2.451037968
41	2.443943159
42	2.438025923
43	2.429312526
44	2.420954172
45	2.409424901
46	2.401330908
47	2.396365108
48	2.386423373
49	2.383256627
50	2.375729106
51	2.368796517
52	2.360946503
53	2.354306351
54	2.348722766
55	2.341369622
56	2.334845899
57	2.328358004
58	2.322128223
59	2.317301242
60	2.308279808
61	2.300185911
62	2.290775608
63	2.285524924
64	2.277252385
65	2.274581274
66	2.271801709
67	2.266407271
68	2.261595087
69	2.256314844
70	2.251245439
71	2.247278002
72	2.24332747
73	2.235930687
74	2.231722009
75	2.229618707
76	2.221181084
77	2.212111603
78	2.204332835
79	2.19723919
80	2.191169215
81	2.186652975
82	2.182254115
83	2.172644215
84	2.165765075
85	2.160227925
86	2.156119575
87	2.15003034
88	2.142177558
89	2.139670458
90	2.135452514
91	2.12872712
92	2.124545968
93	2.119081122
94	2.115031165
95	2.112187879
96	2.107951497
97	2.105967
98	2.101967256
99	2.096152336
100	2.091670106
101	2.087679133
102	2.080892186
103	2.0741607
104	2.069765252
105	2.063503421
106	2.060199271
107	2.05549028
108	2.047723542
109	2.043781729
110	2.036896298
111	2.030872468
112	2.028050819
113	2.02209361
114	2.01503615
115	2.011118078
116	2.00767553
117	2.005266757
118	2.001983141
119	1.995085957
120	1.991743977
121	1.986895011
122	1.982979779
123	1.975367003
124	1.972583705
125	1.967824545
126	1.961921997
127	1.955345066
128	1.952458885
129	1.943604127
130	1.941779445
131	1.938156132
132	1.932216143
133	1.929466361
134	1.921006387
135	1.916247549
136	1.912217004
137	1.906427883
138	1.900313355
139	1.897366432
140	1.893564869
141	1.886383344
142	1.879715434
143	1.875081894
144	1.872631833
145	1.870694888
146	1.86668803
147	1.860894786
148	1.853875461
149	1.849799195
150	1.847631478
151	1.843171992
152	1.837447742
153	1.834543065
154	1.831425692
155	1.827637248
156	1.824523413
157	1.820921416
158	1.817920851
159	1.814988548
160	1.810636485
161	1.80564608
162	1.800581026
163	1.797976484
164	1.791460155
165	1.788013559
166	1.786088104
167	1.784074821
168	1.779414172
169	1.776542672
170	1.772813079
171	1.76880142
172	1.767611193
173	1.765696845
174	1.761958964
175	1.757977092
176	1.753128849
177	1.748748043
178	1.7443591
179	1.741409813
180	1.736956162
181	1.733755074
182	1.730127572
183	1.726540079
184	1.723314531
185	1.719960922
186	1.716778104
187	1.713094329
188	1.710593164
189	1.708918798
190	1.706358968
191	1.702220099
192	1.697036098
193	1.693785318
194	1.690859508
195	1.686810881
196	1.684251405
197	1.681873822
198	1.679311369
199	1.676772813
200	1.67455117
201	1.668868998
202	1.665903536
203	1.66335218
204	1.656632527
205	1.654633034
206	1.651475556
207	1.64717666
208	1.643862662
209	1.640799168
210	1.635480366
211	1.632164234
212	1.627880544
213	1.623738414
214	1.620006072
215	1.618038746
216	1.615725616
217	1.613434786
218	1.61094019
219	1.60865197
220	1.606286857
221	1.602638041
222	1.600352061
223	1.596303281
224	1.594514096
225	1.591620667
226	1.589311986
227	1.587414099
228	1.585425657
229	1.583008385
230	1.581534975
231	1.579983024
232	1.578035425
233	1.573718085
234	1.571999946
235	1.570237858
236	1.569049408
237	1.567619304
238	1.563884077
239	1.562465534
240	1.560064778
241	1.556698765
242	1.553961481
243	1.550770187
244	1.549319744
245	1.546304959
246	1.544540792
247	1.542249511
248	1.540260402
249	1.534194923
250	1.529299907
251	1.528049536
252	1.526871538
253	1.523244733
254	1.518721655
255	1.516840255
256	1.515605032
257	1.512992222
258	1.511477341
259	1.509213601
260	1.507391997
261	1.506529464
262	1.503704216
263	1.500157715
264	1.498650984
265	1.496300267
266	1.495185466
267	1.492820775
268	1.49156965
269	1.489645147
270	1.487887221
271	1.486922137
272	1.483796332
273	1.482081586
274	1.479696116
275	1.47717771
276	1.475080697
277	1.468942837
278	1.46386694
279	1.459628354
280	1.458139834
281	1.454716944
282	1.450891807
283	1.448717847
284	1.447384335
285	1.445176928
286	1.443048453
287	1.441681186
288	1.437944406
289	1.436472548
290	1.434548365
291	1.433262833
292	1.431884696
293	1.43135045
294	1.429461653
295	1.425863472
296	1.424768829
297	1.423051162
298	1.422228198
299	1.416645681
300	1.412214697
301	1.410900685
302	1.409750966
303	1.404883134
304	1.400555968
305	1.398720116
306	1.397897353
307	1.392956044
308	1.392267498
309	1.390039766
310	1.384691255
311	1.382645578
312	1.380223592
313	1.377680686
314	1.377228502
315	1.374426385
316	1.369955203
317	1.366594029
318	1.364124861
319	1.36344802
320	1.360928635
321	1.357186107
322	1.355649987
323	1.353715873
324	1.349090995
325	1.345325105
326	1.344239944
327	1.340978836
328	1.339125133
329	1.337073215
330	1.331856956
331	1.330453513
