iter	Passed	Remaining
0	47	47761
1	48	24281
2	49	16385
3	49	12411
4	50	10044
5	51	8449
6	51	7318
7	52	6462
8	52	5794
9	53	5260
10	53	4822
11	54	4458
12	54	4152
13	55	3892
14	55	3659
15	56	3463
16	56	3281
17	57	3125
18	57	2982
19	58	2855
20	58	2744
21	59	2639
22	59	2543
23	60	2454
24	60	2372
25	61	2296
26	61	2233
27	62	2180
28	63	2131
29	64	2082
30	65	2034
31	65	1984
32	66	1936
33	66	1894
34	67	1853
35	68	1823
36	68	1792
37	69	1759
38	70	1725
39	70	1695
40	71	1668
41	72	1644
42	72	1622
43	73	1604
44	74	1585
45	75	1565
46	76	1546
47	77	1529
48	77	1513
49	78	1497
50	79	1478
51	79	1458
52	80	1438
53	81	1421
54	81	1404
55	82	1386
56	82	1369
57	83	1351
58	83	1335
59	84	1319
60	84	1304
61	85	1289
62	85	1275
63	86	1261
64	86	1250
65	87	1236
66	88	1226
67	88	1219
68	89	1211
69	90	1204
70	91	1196
71	92	1189
72	93	1182
73	93	1175
74	94	1168
75	95	1161
76	95	1150
77	96	1141
78	97	1131
79	97	1122
80	98	1113
81	98	1106
82	99	1101
83	100	1096
84	101	1091
85	102	1087
86	103	1081
87	103	1076
88	104	1072
89	105	1067
90	106	1062
91	107	1058
92	108	1054
93	111	1073
94	112	1069
95	113	1064
96	113	1060
97	114	1051
98	115	1046
99	115	1042
100	116	1038
101	117	1034
102	118	1030
103	119	1026
104	120	1025
105	121	1021
106	121	1017
107	122	1013
108	123	1010
109	124	1006
110	125	1003
111	126	999
112	126	995
113	127	992
114	128	988
115	129	985
116	130	982
117	130	978
118	131	975
119	132	971
120	133	968
121	134	964
122	134	961
123	135	959
124	136	956
125	137	952
126	138	949
127	138	946
128	139	943
129	140	941
130	141	938
131	142	935
132	143	932
133	143	929
134	144	926
135	145	923
136	146	920
137	146	918
138	147	915
139	148	912
140	149	910
141	150	907
142	151	905
143	151	902
144	152	899
145	153	897
146	154	895
147	155	892
148	155	890
149	156	887
150	157	884
151	158	882
152	159	880
153	159	878
154	160	875
155	161	873
156	162	871
157	163	869
158	163	866
159	164	864
160	165	862
161	166	860
162	167	858
163	167	856
164	168	853
165	169	852
166	170	849
167	170	846
168	171	842
169	171	839
170	172	835
171	172	832
172	173	827
173	173	824
174	174	820
175	174	817
176	175	814
177	175	810
178	176	807
179	176	804
